Time,Container ID,CPU Usage (%),Memory Usage
2024-03-12 10:33:33,590e7c9e393e,8.39%,1.039GiB / 31.34GiB
2024-03-12 10:33:35,590e7c9e393e,10.77%,1.039GiB / 31.34GiB
2024-03-12 10:33:37,590e7c9e393e,12.50%,1.039GiB / 31.34GiB
2024-03-12 10:33:39,590e7c9e393e,13.37%,1.039GiB / 31.34GiB
2024-03-12 10:33:41,590e7c9e393e,7.52%,1.039GiB / 31.34GiB
2024-03-12 10:33:43,590e7c9e393e,10.86%,1.039GiB / 31.34GiB
2024-03-12 10:33:45,590e7c9e393e,12.74%,1.039GiB / 31.34GiB
2024-03-12 10:33:47,590e7c9e393e,1.71%,1.039GiB / 31.34GiB
2024-03-12 10:33:49,590e7c9e393e,12.31%,1.039GiB / 31.34GiB
2024-03-12 10:33:51,590e7c9e393e,10.82%,1.04GiB / 31.34GiB
2024-03-12 10:33:53,590e7c9e393e,11.78%,1.04GiB / 31.34GiB
2024-03-12 10:33:55,590e7c9e393e,11.59%,1.04GiB / 31.34GiB
2024-03-12 10:33:57,590e7c9e393e,11.69%,1.04GiB / 31.34GiB
2024-03-12 10:33:59,590e7c9e393e,1.75%,1.04GiB / 31.34GiB
2024-03-12 10:34:01,590e7c9e393e,5.83%,1.04GiB / 31.34GiB
