Time,Container ID,CPU Usage (%),Memory Usage / Limit,Memory Usage (%)
2024-03-09 10:16:14,cbd02fa2bee4,2.29%,821.5MiB / 31.34GiB,2.56%
2024-03-09 10:16:18,cbd02fa2bee4,14.98%,824.7MiB / 31.34GiB,2.57%
2024-03-09 10:16:21,cbd02fa2bee4,8.20%,829.9MiB / 31.34GiB,2.59%
2024-03-09 10:16:25,cbd02fa2bee4,11.36%,832.8MiB / 31.34GiB,2.60%
2024-03-09 10:16:28,cbd02fa2bee4,11.42%,838.4MiB / 31.34GiB,2.61%
2024-03-09 10:16:32,cbd02fa2bee4,12.66%,843.6MiB / 31.34GiB,2.63%
2024-03-09 10:16:35,cbd02fa2bee4,15.73%,848.4MiB / 31.34GiB,2.64%
2024-03-09 10:16:39,cbd02fa2bee4,0.68%,852.3MiB / 31.34GiB,2.66%
2024-03-09 10:16:43,cbd02fa2bee4,11.41%,856MiB / 31.34GiB,2.67%
2024-03-09 10:16:46,cbd02fa2bee4,10.28%,859.4MiB / 31.34GiB,2.68%
2024-03-09 10:16:50,cbd02fa2bee4,8.24%,861.6MiB / 31.34GiB,2.69%
2024-03-09 10:16:53,cbd02fa2bee4,8.76%,862.6MiB / 31.34GiB,2.69%
2024-03-09 10:16:57,cbd02fa2bee4,6.34%,865.3MiB / 31.34GiB,2.70%
2024-03-09 10:17:00,cbd02fa2bee4,2.33%,865.9MiB / 31.34GiB,2.70%
